date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2013-1-18 6075.1 183814 4.80943 0 0 0 0
2013-1-19 6085.08 184856 4.82745 0 0 0 0
2013-1-20 6137.24 186081 4.78287 0 0 0 0
2013-1-21 6147.96 187015 4.84569 0 0 0 0
2013-1-22 6157.07 187909 4.98494 0 0 0 0
2013-1-23 6173.25 189022 4.87057 0 0 0 0
2013-1-24 6195.9 190107 4.77325 0 0 0 0
2013-1-25 6239.57 191121 4.87584 0 0 0 0
2013-1-26 6258.62 192090 4.75664 0 0 0 0
2013-1-27 6268.47 192932 4.87535 0 0 0 0
2013-1-28 6288.66 194256 4.83069 0 0 0 0
2013-1-29 20184.6 108138 4.85138 0 0 0 0
2013-1-30 14211.8 250542 4.97189 0 0 0 0
2013-1-31 14355.9 161190 4.8943 0 0 0 0
2013-2-1 10581.1 235036 4.8147 0 0 0 0
2013-2-2 6427.11 231231 4.77333 0 0 0 0
2013-2-3 6441.54 200460 5.08771 0 0 0 0
2013-2-4 6454.95 201853 4.92454 0 0 0 0
2013-2-5 6475.47 202805 4.80942 0 0 0 0
2013-2-6 6510.55 203843 4.91184 0 0 0 0
2013-2-7 13020.5 204990 4.79239 0 0 0 0
2013-2-8 6540.74 205878 4.90491 0 0 0 0
2013-2-9 6563.82 206952 4.87777 0 0 0 0
2013-2-10 6576.48 208053 4.96111 0 0 0 0
2013-2-11 6589.12 209233 4.84616 0 0 0 0
2013-2-12 6603.27 210274 4.92136 0 0 0 0
2013-2-13 6646.63 211267 4.85855 0 0 0 0
2013-2-14 6669.06 212269 4.91958 0 0 0 0
2013-2-15 6684.15 213552 4.86041 0 0 0 0
2013-2-16 6708.82 214611 4.86355 0 0 0 0
2013-2-17 16435.4 215523 4.81936 0 0 0 0
2013-2-18 12852.6 217536 5.01424 0 0 0 0
2013-2-19 11384.8 216719 5.04041 0 0 0 0
2013-2-20 6794.05 218845 4.87912 0 0 0 0
2013-2-21 6798.53 219819 4.91043 0 0 0 0
2013-2-22 6817.48 220904 4.8743 0 0 0 0
2013-2-23 6823.38 221947 5.10732 0 0 0 0
2013-2-24 12803 223290 4.94121 0 0 0 0
2013-2-25 10991 224166 4.85425 0 0 0 0
2013-2-26 6879.48 225371 4.94913 0 0 0 0
2013-2-27 6906.38 226177 5.1444 0 0 0 0
2013-2-28 6911.74 227352 4.89521 0 0 0 0
2013-3-1 11918 228407 4.87605 0 0 0 0
2013-3-2 10879.6 231904 5.06914 0 0 0 0
2013-3-3 13084.5 159663 4.91596 0 0 0 0
2013-3-4 9880.92 269987 4.92771 0 0 0 0
2013-3-5 9191.27 263165 4.9757 0 0 0 0
2013-3-6 8989.86 233865 5.03998 0 0 0 0
2013-3-7 9062 237449 5.15039 0 0 0 0
2013-3-8 7091.93 233504 4.94218 0 0 0 0
2013-3-9 7109.48 236994 4.89511 0 0 0 0
2013-3-10 7121.96 238145 4.89583 0 0 0 0
2013-3-11 7152.32 239096 5.20435 0 0 0 0
2013-3-12 7170.92 240294 4.9578 0 0 0 0
2013-3-13 7196.92 241373 4.89855 0 0 0 0
2013-3-14 7214.21 242516 5.06859 0 0 0 0
2013-3-15 7228.74 243635 5.13651 0 0 0 0
2013-3-16 7246.87 244672 4.92057 0 0 0 0
