date Q_m3d source
2012-7-15 45875.8 overland
2012-7-15 3.6606 stream
2012-7-15 0 lake
2012-7-16 12754 drain
2012-7-16 25296.8 overland
2012-7-16 3.72378 stream
2012-7-16 0 lake
2012-7-17 11728.3 drain
2012-7-17 26441.3 overland
2012-7-17 3.64955 stream
2012-7-17 0 lake
2012-7-18 10734.8 drain
2012-7-18 35767 overland
2012-7-18 3.66754 stream
2012-7-18 0 lake
2012-7-19 9931.16 drain
2012-7-19 33273.4 overland
2012-7-19 3.68124 stream
2012-7-19 0 lake
2012-7-20 13521.7 drain
2012-7-20 45768.3 overland
2012-7-20 3.73842 stream
2012-7-20 0 lake
2012-7-21 10940 drain
2012-7-21 34347.6 overland
2012-7-21 3.69616 stream
2012-7-21 0 lake
2012-7-22 10617.8 drain
2012-7-22 38614.3 overland
2012-7-22 3.77836 stream
2012-7-22 0 lake
2012-7-23 9789.43 drain
2012-7-23 38391.1 overland
2012-7-23 3.72814 stream
2012-7-23 0 lake
2012-7-24 15095.3 drain
2012-7-24 50792.7 overland
2012-7-24 3.69317 stream
2012-7-24 0 lake
2012-7-25 11869.5 drain
2012-7-25 31643 overland
2012-7-25 3.76098 stream
2012-7-25 0 lake
2012-7-26 11060 drain
2012-7-26 39674.4 overland
2012-7-26 3.73564 stream
2012-7-26 0 lake
2012-7-27 10218.5 drain
2012-7-27 38696.2 overland
2012-7-27 3.81401 stream
2012-7-27 0 lake
2012-7-28 9654.11 drain
2012-7-28 38897.5 overland
2012-7-28 3.7014 stream
2012-7-28 0 lake
2012-7-29 10475.2 drain
2012-7-29 43935.6 overland
2012-7-29 3.73382 stream
2012-7-29 0 lake
2012-7-30 33935.8 drain
2012-7-30 155327 overland
2012-7-30 3.74316 stream
2012-7-30 0 lake
2012-7-31 11880.8 drain
2012-7-31 35785.5 overland
2012-7-31 3.76817 stream
2012-7-31 0 lake
2012-8-1 11244.8 drain
2012-8-1 35569.6 overland
2012-8-1 3.79082 stream
2012-8-1 0 lake
